"기준날짜","카메라코드","카메라명칭","설명","계수시작시간","계수끝시간","진입계수","진출계수","주간 진입계수","주간 진출계수","월간 진입계수","월간 진출계수","데이터입력시간"
"20191026","1","율곡로3길 50","덕성여고 앞","2019-10-26 12:30:38.136","2019-10-26 12:40:38.085","2700","1704","","","","","2019-10-26 12:40:38.085"
"20191025","1","율곡로3길 50","덕성여고 앞","2019-10-25 23:40:37.854","2019-10-25 23:50:37.871","11561","9042","48988","40310","246591","227255","2019-10-25 23:50:37.871"
"20191024","1","율곡로3길 50","덕성여고 앞","2019-10-24 23:40:38.628","2019-10-24 23:50:38.558","9907","8490","37427","31268","235030","218213","2019-10-24 23:50:38.558"
"20191023","1","율곡로3길 50","덕성여고 앞","2019-10-23 23:40:36.84","2019-10-23 23:50:36.897","8840","7532","27520","22778","225123","209723","2019-10-23 23:50:36.897"
"20191022","1","율곡로3길 50","덕성여고 앞","2019-10-22 23:40:38.526","2019-10-22 23:50:38.549","9542","7675","18680","15246","216283","202191","2019-10-22 23:50:38.549"
"20191021","1","율곡로3길 50","덕성여고 앞","2019-10-21 23:40:37.537","2019-10-21 23:50:37.519","9138","7571","9138","7571","206741","194516","2019-10-21 23:50:37.519"
"20191020","1","율곡로3길 50","덕성여고 앞","2019-10-20 23:40:37.741","2019-10-20 23:50:37.758","10320","11122","67804","61113","197603","186945","2019-10-20 23:50:37.758"
"20191019","1","율곡로3길 50","덕성여고 앞","2019-10-19 23:40:37.421","2019-10-19 23:50:37.39","12482","13336","57484","49991","187283","175823","2019-10-19 23:50:37.39"
"20191018","1","율곡로3길 50","덕성여고 앞","2019-10-18 23:40:37.147","2019-10-18 23:50:37.127","9992","8468","45002","36655","174801","162487","2019-10-18 23:50:37.127"
"20191017","1","율곡로3길 50","덕성여고 앞","2019-10-17 23:40:38.744","2019-10-17 23:50:38.694","9476","7729","35010","28187","164809","154019","2019-10-17 23:50:38.694"
"20191016","1","율곡로3길 50","덕성여고 앞","2019-10-16 23:40:37.964","2019-10-16 23:50:37.855","8361","6597","25534","20458","155333","146290","2019-10-16 23:50:37.855"
"20191015","1","율곡로3길 50","덕성여고 앞","2019-10-15 23:40:36.323","2019-10-15 23:50:36.297","8465","6684","17173","13861","146972","139693","2019-10-15 23:50:36.297"
"20191014","1","율곡로3길 50","덕성여고 앞","2019-10-14 23:40:37.602","2019-10-14 23:50:37.666","8708","7177","8708","7177","138507","133009","2019-10-14 23:50:37.666"
"20191013","1","율곡로3길 50","덕성여고 앞","2019-10-13 23:40:38.292","2019-10-13 23:50:38.179","9802","11483","67613","64732","129799","125832","2019-10-13 23:50:38.179"
"20191012","1","율곡로3길 50","덕성여고 앞","2019-10-12 23:40:36.845","2019-10-12 23:50:36.816","10930","12491","57811","53249","119997","114349","2019-10-12 23:50:36.816"
"20191011","1","율곡로3길 50","덕성여고 앞","2019-10-11 23:40:38.601","2019-10-11 23:50:38.6","10225","8986","46881","40758","109067","101858","2019-10-11 23:50:38.6"
"20191010","1","율곡로3길 50","덕성여고 앞","2019-10-10 23:40:38.55","2019-10-10 23:50:38.626","7785","6513","36656","31772","98842","92872","2019-10-10 23:50:38.626"
"20191009","1","율곡로3길 50","덕성여고 앞","2019-10-09 23:40:36.562","2019-10-09 23:50:36.578","11744","11063","28871","25259","91057","86359","2019-10-09 23:50:36.578"
"20191008","1","율곡로3길 50","덕성여고 앞","2019-10-08 23:40:36.33","2019-10-08 23:50:36.287","9948","8100","17127","14196","79313","75296","2019-10-08 23:50:36.287"
"20191007","1","율곡로3길 50","덕성여고 앞","2019-10-07 23:40:37.489","2019-10-07 23:50:37.496","7179","6096","7179","6096","69365","67196","2019-10-07 23:50:37.496"
"20191006","1","율곡로3길 50","덕성여고 앞","2019-10-06 23:40:37.894","2019-10-06 23:50:37.823","10362","11455","70764","68578","62186","61100","2019-10-06 23:50:37.823"
"20191005","1","율곡로3길 50","덕성여고 앞","2019-10-05 23:40:37.841","2019-10-05 23:50:38.147","10669","12191","60402","57123","51824","49645","2019-10-05 23:50:38.147"
"20191004","1","율곡로3길 50","덕성여고 앞","2019-10-04 23:40:38.333","2019-10-04 23:50:38.318","12680","11423","49733","44932","41155","37454","2019-10-04 23:50:38.318"
"20191003","1","율곡로3길 50","덕성여고 앞","2019-10-03 23:40:38.565","2019-10-03 23:50:38.641","10848","11213","37053","33509","28475","26031","2019-10-03 23:50:38.641"
"20191002","1","율곡로3길 50","덕성여고 앞","2019-10-02 23:40:36.729","2019-10-02 23:50:36.674","7763","6873","26205","22296","17627","14818","2019-10-02 23:50:36.674"
"20191001","1","율곡로3길 50","덕성여고 앞","2019-10-01 23:40:37.898","2019-10-01 23:50:37.811","9864","7945","18442","15423","9864","7945","2019-10-01 23:50:37.811"
"20190930","1","율곡로3길 50","덕성여고 앞","2019-09-30 23:40:38.121","2019-09-30 23:50:38.026","8578","7478","","","","","2019-09-30 23:50:38.026"
"20190929","1","율곡로3길 50","덕성여고 앞","2019-09-29 23:40:37.353","2019-09-29 23:50:37.361","11257","13187","","","","","2019-09-29 23:50:37.361"
"20190928","1","율곡로3길 50","덕성여고 앞","2019-09-28 23:40:37.795","2019-09-28 23:50:37.879","11710","13630","","","","","2019-09-28 23:50:37.879"
