"기준날짜","카메라코드","카메라명칭","설명","계수시작시간","계수끝시간","진입계수","진출계수","주간 진입계수","주간 진출계수","월간 진입계수","월간 진출계수","데이터입력시간"
"20191026","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-26 12:30:38.136","2019-10-26 12:40:38.102","1524","2165","","","","","2019-10-26 12:40:38.102"
"20191026","3","북촌로11길 1","돈미약국 앞","2019-10-26 12:30:38.136","2019-10-26 12:40:38.098","4195","3611","","","","","2019-10-26 12:40:38.098"
"20191026","2","계동길 69","계동교회 앞","2019-10-26 12:30:38.136","2019-10-26 12:40:38.094","4729","5636","","","","","2019-10-26 12:40:38.094"
"20191026","1","율곡로3길 50","덕성여고 앞","2019-10-26 12:30:38.136","2019-10-26 12:40:38.085","2700","1704","","","","","2019-10-26 12:40:38.085"
"20191025","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-25 23:40:37.854","2019-10-25 23:50:37.868","5392","6227","23414","27543","136253","162203","2019-10-25 23:50:37.868"
"20191025","3","북촌로11길 1","돈미약국 앞","2019-10-25 23:40:37.854","2019-10-25 23:50:37.854","10103","9107","46227","42504","222872","199269","2019-10-25 23:50:37.854"
"20191025","2","계동길 69","계동교회 앞","2019-10-25 23:40:37.854","2019-10-25 23:50:37.875","12011","14391","59792","73206","382125","434791","2019-10-25 23:50:37.875"
"20191025","1","율곡로3길 50","덕성여고 앞","2019-10-25 23:40:37.854","2019-10-25 23:50:37.871","11561","9042","48988","40310","246591","227255","2019-10-25 23:50:37.871"
"20191024","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-24 23:40:38.628","2019-10-24 23:50:38.576","5058","5949","18022","21316","130861","155976","2019-10-24 23:50:38.576"
"20191024","3","북촌로11길 1","돈미약국 앞","2019-10-24 23:40:38.628","2019-10-24 23:50:38.573","9583","9192","36124","33397","212769","190162","2019-10-24 23:50:38.573"
"20191024","2","계동길 69","계동교회 앞","2019-10-24 23:40:38.628","2019-10-24 23:50:38.57","11837","14517","47781","58815","370114","420400","2019-10-24 23:50:38.57"
"20191024","1","율곡로3길 50","덕성여고 앞","2019-10-24 23:40:38.628","2019-10-24 23:50:38.558","9907","8490","37427","31268","235030","218213","2019-10-24 23:50:38.558"
"20191023","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-23 23:40:36.84","2019-10-23 23:50:36.915","4581","5404","12964","15367","125803","150027","2019-10-23 23:50:36.915"
"20191023","3","북촌로11길 1","돈미약국 앞","2019-10-23 23:40:36.84","2019-10-23 23:50:36.918","8624","7812","26541","24205","203186","180970","2019-10-23 23:50:36.918"
"20191023","2","계동길 69","계동교회 앞","2019-10-23 23:40:36.84","2019-10-23 23:50:36.921","12348","14702","35944","44298","358277","405883","2019-10-23 23:50:36.921"
"20191023","1","율곡로3길 50","덕성여고 앞","2019-10-23 23:40:36.84","2019-10-23 23:50:36.897","8840","7532","27520","22778","225123","209723","2019-10-23 23:50:36.897"
"20191022","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-22 23:40:38.526","2019-10-22 23:50:38.526","4143","4898","8383","9963","121222","144623","2019-10-22 23:50:38.526"
"20191022","3","북촌로11길 1","돈미약국 앞","2019-10-22 23:40:38.526","2019-10-22 23:50:38.553","8490","7782","17917","16393","194562","173158","2019-10-22 23:50:38.553"
"20191022","2","계동길 69","계동교회 앞","2019-10-22 23:40:38.526","2019-10-22 23:50:38.546","12078","14961","23596","29596","345929","391181","2019-10-22 23:50:38.546"
"20191022","1","율곡로3길 50","덕성여고 앞","2019-10-22 23:40:38.526","2019-10-22 23:50:38.549","9542","7675","18680","15246","216283","202191","2019-10-22 23:50:38.549"
